species	160	98	H1_4WK	H2_4WK	H3_4WK	H4_4WK	H5_4WK	H6_4WK	L1_4WK	L2_4WK	L3_4WK	L4_4WK	L5_4WK	L6_4WK
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Peudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora;s__Saccharopolyspora_spinosa	0	1	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetale;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces_ciscaucasicus	0	0	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetale;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces_sp._S10(2016)	0	0	0	1	0	0	0	0	0	0	1	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriale;f__Atopobiaceae;g__Atopobium;s__Atopobium_minutum	1	0	0	0	0	0	0	0	0	6	4	2	6	4
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriale;f__Atopobiaceae;g__Atopobium;s__Atopobium_parvulum	3	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriale;f__Atopobiaceae;g__Atopobium;s__Atopobium_rimae	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriale;f__Atopobiaceae;g__Atopobium;s__Atopobium_sp._oral_taxon_199	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriale;f__Atopobiaceae;g__Atopobium;s__Atopobium_vaginae	49	0	0	0	0	0	0	0	0	0	2	1	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriale;f__Coriobacteriaceae;g__;s__Coriobacteriaceae_bacterium_68-1-3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriale;f__Coriobacteriaceae;g__;s__Coriobacteriaceae_bacterium_BV3Ac1	1	0	0	0	0	0	0	0	0	4	0	2	0	2
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriale;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_aerofaciens	7	9573	0	0	0	0	10	10	1	5	1	1	3	3
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriale;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_intestinalis	1863	15	0	0	0	0	0	0	196	150	508	264	431	375
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriale;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_sp._MS5	1	27	0	0	0	0	0	0	3	1	4	1	3	3
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriale;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_stercoris	18	21	0	0	0	0	0	0	3	5	5	2	11	4
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriale;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_tanakaei	3	4	0	0	0	0	0	0	1	1	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriale;f__Coriobacteriaceae;g__Enorma;s__Enorma_massiliensis	11	4	0	0	0	0	0	0	0	1	2	0	1	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriale;f__Coriobacteriaceae;g__Senegalimassilia;s__Senegalimassilia_anaerobia	1	27	0	0	0	0	37	31	1	2	0	5	3	2
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellale;f__Eggerthellaceae;g__;s__Eggerthellaceae_bacterium_AT8	2	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellale;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia_equolifaciens	150	0	0	0	0	0	516	438	555	438	1084	599	1088	895
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellale;f__Eggerthellaceae;g__Cryptobacterium;s__Cryptobacterium_curtum	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellale;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella_lenta	3508	0	0	0	0	0	51	34	19	16	46	15	28	64
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellale;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella_sp._YY7918	12	0	0	0	0	0	40	49	29	28	51	24	42	13
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellale;f__Eggerthellaceae;g__Enterorhabdus;s__Enterorhabdus_caecimuris	0	0	0	0	0	0	0	0	4	1	13	5	7	10
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellale;f__Eggerthellaceae;g__Enterorhabdus;s__Enterorhabdus_mucosicola	0	10	0	0	0	0	0	0	1	3	16	3	2	4
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellale;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter_pamelaeae	85	62	0	0	0	0	16824	12871	11	12	23	10	26	13
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellale;f__Eggerthellaceae;g__Slackia;s__Slackia_exigua	1	2	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellale;f__Eggerthellaceae;g__Slackia;s__Slackia_heliotrinireducens	1	0	0	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellale;f__Eggerthellaceae;g__Slackia;s__Slackia_piriformis	2	241	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_barnesiae	110	0	252	244	302	211	385	340	106	66	162	164	297	93
